club_id,status,name,relative_url,is_special
106055,ok,BATE Borisov U17,/bate-borisov-u17/startseite/verein/106055,False
106086,ok,FC Djursholm Jugend,/fc-djursholm-jugend/startseite/verein/106086,False
106091,ok,Melaka FC,/melaka-fc/startseite/verein/106091,False
1061,ok,Los Angeles Galaxy,/los-angeles-galaxy/startseite/verein/1061,False
106120,ok,US Torcy U19,/us-torcy-u19/startseite/verein/106120,False
1062,ok,Shimizu S-Pulse,/shimizu-s-pulse/startseite/verein/1062,False
106217,ok,1.Jugend-Fußball-Schule Köln Jugend,/1-jugend-fussball-schule-koeln-jugend/startseite/verein/106217,False
10625,ok,Qarabağ FK,/qarabag-fk/startseite/verein/10625,False
106272,ok,Cocodrilos FC Lázaro Cárdenas,/cocodrilos-fc-lazaro-cardenas/startseite/verein/106272,False
106295,ok,Olympique Lyon U17,/olympique-lyon-u17/startseite/verein/106295,False
1063,ok,Viborg FF,/viborg-ff/startseite/verein/1063,False
10632,ok,CA Rentistas,/ca-rentistas/startseite/verein/10632,False
10639,ok,MIKA Ashtarak,/mika-ashtarak/startseite/verein/10639,False
1064,ok,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064,False
10640,ok,Partizan Minsk (- 2014),/partizan-minsk-2014/startseite/verein/10640,False
10644,ok,University of Nigeria,/university-of-nigeria/startseite/verein/10644,False
10645,ok,Mighty Barrolle SA,/mighty-barrolle-sa/startseite/verein/10645,False
106490,ok,Manila Digger FC,/manila-digger-fc/startseite/verein/106490,False
1065,ok,Hannover 96 II,/hannover-96-ii/startseite/verein/1065,False
106503,ok,FK Mesto Prievidza Youth (1919 - 2010),/fk-mesto-prievidza-youth-1919-2010/startseite/verein/106503,False
1066,ok,Nagoya Grampus,/nagoya-grampus/startseite/verein/1066,False
106604,ok,Pathfinder FC,/pathfinder-fc/startseite/verein/106604,False
106613,ok,Yunired Samarkand,/yunired-samarkand/startseite/verein/106613,False
10663,ok,Liverpool FC Montevideo,/liverpool-fc-montevideo/startseite/verein/10663,False
106651,ok,Zhenis Astana II ,/zhenis-astana-ii/startseite/verein/106651,False
106667,ok,Hoa Binh FC (- 2025),/hoa-binh-fc-2025/startseite/verein/106667,False
106690,ok,Réal du Faso,/real-du-faso/startseite/verein/106690,False
106697,ok,HFX Wanderers FC U23,/hfx-wanderers-fc-u23/startseite/verein/106697,False
106704,ok,Orange County U23,/orange-county-u23/startseite/verein/106704,False
1068,ok,SV Straelen,/sv-straelen/startseite/verein/1068,False
10680,ok,Bidvest Wits FC,/bidvest-wits-fc/startseite/verein/10680,False
106835,ok,Chwarqurna SC,/chwarqurna-sc/startseite/verein/106835,False
10688,ok,Sibir Novosibirsk (- 2019),/sibir-novosibirsk-2019/startseite/verein/10688,False
10690,ok,Zorya Lugansk,/zorya-lugansk/startseite/verein/10690,False
10694,ok,FK Gomel,/fk-gomel/startseite/verein/10694,False
10695,ok,Shakhter Soligorsk (- 2025),/shakhter-soligorsk-2025/startseite/verein/10695,False
1070,ok,CA Colón,/ca-colon/startseite/verein/1070,False
10703,ok,Sparta Rotterdam U19,/sparta-rotterdam-u19/startseite/verein/10703,False
10704,ok,Resovia Rzeszow,/resovia-rzeszow/startseite/verein/10704,False
10709,ok,ADO Den Haag U19,/ado-den-haag-u19/startseite/verein/10709,False
107095,ok,FC Ulytau Zhezkazgan,/fc-ulytau-zhezkazgan/startseite/verein/107095,False
1071,ok,Wigan Athletic,/wigan-athletic/startseite/verein/1071,False
10710,ok,Fortuna Sittard U19,/fortuna-sittard-u19/startseite/verein/10710,False
10714,ok,UKS SMS Lodz,/uks-sms-lodz/startseite/verein/10714,False
10718,ok,FC Andorra,/fc-andorra/startseite/verein/10718,False
10719,ok,FC Zestafoni,/fc-zestafoni/startseite/verein/10719,False
107198,ok,Athletic Bilbao U18,/athletic-bilbao-u18/startseite/verein/107198,False
1072,ok,Peterborough United,/peterborough-united/startseite/verein/1072,False
10722,ok,Dragon Club de Yaounde,/dragon-club-de-yaounde/startseite/verein/10722,False
107236,ok,Club Deportivo Cooper ,/club-deportivo-cooper/startseite/verein/107236,False
10732,ok,Watford FC U18,/watford-fc-u18/startseite/verein/10732,False
